system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250313,2025-03-13,295.91296357325547,-0.018970874340696282,1.169480369961997E-4,100024.51601279595,1.5135667747940525E-6,2.1724815875042155E7,300.73626037892967,2.598201103353137E-4,0.303702524439448,0.13682600964375283,0.39447788344450996,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250314,2025-03-14,295.7398154871697,-0.021092603780434014,1.1425876699111284E-4,100069.29527551061,1.6482092179505785E-6,2.2450166318959706E7,301.3670523235727,2.8872135157844336E-4,0.5020902007513715,-0.17029649120266155,0.3686105685962595,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250315,2025-03-15,295.77179998445285,-0.022167464631572337,1.1230721999882705E-4,100128.55093274104,2.4934887370175933E-6,2.1924126816704612E7,301.6770693511542,4.3029230058270345E-4,0.537780844487455,0.015242838977062152,0.35199221127135555,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250316,2025-03-16,296.39344614517074,-0.015939849383492275,1.342980291195996E-4,100165.0548294825,2.6983230113123373E-5,1.732699088041646E7,300.7816687642503,0.004011906271262462,0.32470234392755143,0.3003193235896014,0.3498628814427638,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250317,2025-03-17,297.02721930209344,-0.013588514931303823,1.9365409909711606E-4,100133.69729661582,8.83188599762915E-5,1.7577945306482885E7,300.3195431453991,0.004713881759492233,-0.19482054964311565,-0.529986944145875,0.38814084784086683,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250318,2025-03-18,296.541691898053,-0.018239268888657248,1.263325658465309E-4,100156.52435847862,2.310279148217362E-5,2.0271811177267753E7,300.84431824384365,0.0034325336661618524,0.10748355829138244,0.3364899589230427,0.3885552611169312,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250319,2025-03-19,296.5352151682491,-0.019540224952460026,1.0836796665122868E-4,100251.81616882994,7.291633086302546E-6,2.0941037114061713E7,301.22886480965826,0.0012935109186636767,0.10680449395845223,0.23199399702106763,0.38455829535529146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250320,2025-03-20,296.79294445360216,-0.019644907400619246,1.0301717891187564E-4,100343.42028942128,4.114628139059767E-6,1.9713533885128196E7,301.6059792951145,7.274367760554365E-4,0.34733603185208206,0.04195440526277432,0.3707578220910817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250321,2025-03-21,296.5935472368493,-0.019262484676821585,1.1680764473606613E-4,100333.26199514339,2.0129069433373923E-5,2.0403006687236555E7,301.7270181245251,0.0031085246012625693,0.29987016075547895,-0.12763300708945463,0.36447266492581115,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250322,2025-03-22,296.87900456844557,-0.015817712508800267,1.705572696915182E-4,100290.8875258609,7.572029628265302E-5,2.0158876417598266E7,300.5322883794881,0.007756660784516916,-0.024915769705191767,-0.1868802969494983,0.3967524611157485,"{""type"":""MultiPoint"",""coordinates"":[]}"
